File: ./image_files/DallEOTGP\FruitsDallE1.png
Chunks:
  Marker: b'IHDR' | Offset: 8 | Length: 13
  Marker: b'IDAT' | Offset: 33 | Length: 65536
  Marker: b'IDAT' | Offset: 65581 | Length: 65536
  Marker: b'IDAT' | Offset: 131129 | Length: 65536
  Marker: b'IDAT' | Offset: 196677 | Length: 65536
  Marker: b'IDAT' | Offset: 262225 | Length: 65536
  Marker: b'IDAT' | Offset: 327773 | Length: 65536
  Marker: b'IDAT' | Offset: 393321 | Length: 65536
  Marker: b'IDAT' | Offset: 458869 | Length: 65536
  Marker: b'IDAT' | Offset: 524417 | Length: 65536
  Marker: b'IDAT' | Offset: 589965 | Length: 65536
  Marker: b'IDAT' | Offset: 655513 | Length: 65536
  Marker: b'IDAT' | Offset: 721061 | Length: 65536
  Marker: b'IDAT' | Offset: 786609 | Length: 65536
  Marker: b'IDAT' | Offset: 852157 | Length: 65536
  Marker: b'IDAT' | Offset: 917705 | Length: 65536
  Marker: b'IDAT' | Offset: 983253 | Length: 65536
  Marker: b'IDAT' | Offset: 1048801 | Length: 65536
  Marker: b'IDAT' | Offset: 1114349 | Length: 65536
  Marker: b'IDAT' | Offset: 1179897 | Length: 65536
  Marker: b'IDAT' | Offset: 1245445 | Length: 65536
  Marker: b'IDAT' | Offset: 1310993 | Length: 65536
  Marker: b'IDAT' | Offset: 1376541 | Length: 65536
  Marker: b'IDAT' | Offset: 1442089 | Length: 65536
  Marker: b'IDAT' | Offset: 1507637 | Length: 65536
  Marker: b'IDAT' | Offset: 1573185 | Length: 65536
  Marker: b'IDAT' | Offset: 1638733 | Length: 65536
  Marker: b'IDAT' | Offset: 1704281 | Length: 211
  Marker: b'IEND' | Offset: 1704504 | Length: 0
------------------------------------------------------------
File: ./image_files/DallEOTGP\FruitsDallE10.png
Chunks:
  Marker: b'IHDR' | Offset: 8 | Length: 13
  Marker: b'IDAT' | Offset: 33 | Length: 65536
  Marker: b'IDAT' | Offset: 65581 | Length: 65536
  Marker: b'IDAT' | Offset: 131129 | Length: 65536
  Marker: b'IDAT' | Offset: 196677 | Length: 65536
  Marker: b'IDAT' | Offset: 262225 | Length: 65536
  Marker: b'IDAT' | Offset: 327773 | Length: 65536
  Marker: b'IDAT' | Offset: 393321 | Length: 65536
  Marker: b'IDAT' | Offset: 458869 | Length: 65536
  Marker: b'IDAT' | Offset: 524417 | Length: 65536
  Marker: b'IDAT' | Offset: 589965 | Length: 65536
  Marker: b'IDAT' | Offset: 655513 | Length: 65536
  Marker: b'IDAT' | Offset: 721061 | Length: 65536
  Marker: b'IDAT' | Offset: 786609 | Length: 65536
  Marker: b'IDAT' | Offset: 852157 | Length: 65536
  Marker: b'IDAT' | Offset: 917705 | Length: 65536
  Marker: b'IDAT' | Offset: 983253 | Length: 65536
  Marker: b'IDAT' | Offset: 1048801 | Length: 65536
  Marker: b'IDAT' | Offset: 1114349 | Length: 65536
  Marker: b'IDAT' | Offset: 1179897 | Length: 65536
  Marker: b'IDAT' | Offset: 1245445 | Length: 65536
  Marker: b'IDAT' | Offset: 1310993 | Length: 65536
  Marker: b'IDAT' | Offset: 1376541 | Length: 65536
  Marker: b'IDAT' | Offset: 1442089 | Length: 65536
  Marker: b'IDAT' | Offset: 1507637 | Length: 65536
  Marker: b'IDAT' | Offset: 1573185 | Length: 65536
  Marker: b'IDAT' | Offset: 1638733 | Length: 65536
  Marker: b'IDAT' | Offset: 1704281 | Length: 11704
  Marker: b'IEND' | Offset: 1715997 | Length: 0
------------------------------------------------------------
File: ./image_files/DallEOTGP\FruitsDallE2.png
Chunks:
  Marker: b'IHDR' | Offset: 8 | Length: 13
  Marker: b'IDAT' | Offset: 33 | Length: 65536
  Marker: b'IDAT' | Offset: 65581 | Length: 65536
  Marker: b'IDAT' | Offset: 131129 | Length: 65536
  Marker: b'IDAT' | Offset: 196677 | Length: 65536
  Marker: b'IDAT' | Offset: 262225 | Length: 65536
  Marker: b'IDAT' | Offset: 327773 | Length: 65536
  Marker: b'IDAT' | Offset: 393321 | Length: 65536
  Marker: b'IDAT' | Offset: 458869 | Length: 65536
  Marker: b'IDAT' | Offset: 524417 | Length: 65536
  Marker: b'IDAT' | Offset: 589965 | Length: 65536
  Marker: b'IDAT' | Offset: 655513 | Length: 65536
  Marker: b'IDAT' | Offset: 721061 | Length: 65536
  Marker: b'IDAT' | Offset: 786609 | Length: 65536
  Marker: b'IDAT' | Offset: 852157 | Length: 65536
  Marker: b'IDAT' | Offset: 917705 | Length: 65536
  Marker: b'IDAT' | Offset: 983253 | Length: 65536
  Marker: b'IDAT' | Offset: 1048801 | Length: 65536
  Marker: b'IDAT' | Offset: 1114349 | Length: 65536
  Marker: b'IDAT' | Offset: 1179897 | Length: 65536
  Marker: b'IDAT' | Offset: 1245445 | Length: 65536
  Marker: b'IDAT' | Offset: 1310993 | Length: 65536
  Marker: b'IDAT' | Offset: 1376541 | Length: 65536
  Marker: b'IDAT' | Offset: 1442089 | Length: 65536
  Marker: b'IDAT' | Offset: 1507637 | Length: 65536
  Marker: b'IDAT' | Offset: 1573185 | Length: 65536
  Marker: b'IDAT' | Offset: 1638733 | Length: 65536
